Year,Year ending,Sex,Age Group,Offence Division,Offence Subdivision,Victim Reports
2014,September,Male,18-44 years,B Property and deception offences,B40 Theft,"11,477"
2014,September,Male,18-44 years,B Property and deception offences,B50 Deception,246
2014,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"2,523"
2014,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,115
2014,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",368
2014,September,Male,>45 years,A Crimes against the person,Other crimes against the person,317
2014,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,691"
2014,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"3,286"
2014,September,Male,>45 years,B Property and deception offences,B40 Theft,"9,022"
2014,September,Male,>45 years,B Property and deception offences,B50 Deception,219
2014,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"1,112"
2014,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,63
2014,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",212
2014,September,Male,>45 years,A Crimes against the person,Other crimes against the person,127
2014,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,956"
2014,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,380"
2014,September,Male,>45 years,B Property and deception offences,B40 Theft,"6,029"
2014,September,Male,>45 years,B Property and deception offences,B50 Deception,138
2014,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,344
2014,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,19
2014,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",81
2014,September,Male,>45 years,A Crimes against the person,Other crimes against the person,57
2014,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,946
2014,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,422"
2014,September,Male,>45 years,B Property and deception offences,B40 Theft,"2,789"
2014,September,Male,>45 years,B Property and deception offences,B50 Deception,76
2014,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,111
2014,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,6
2014,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",18
2014,September,Male,>45 years,A Crimes against the person,Other crimes against the person,23
2014,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,388
2014,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,738
2014,September,Male,>45 years,B Property and deception offences,B40 Theft,"1,053"
2014,September,Male,>45 years,B Property and deception offences,B50 Deception,37
