Year,Year ending,Offence Division,Offence Subdivision,Relationship of Victim to Offender,Victim Reports
2019,September,B Property and deception offences,B20 Property damage,Current partner,"1,526"
2019,September,B Property and deception offences,B20 Property damage,Family,"2,387"
2019,September,B Property and deception offences,B20 Property damage,Former partner,"1,139"
2019,September,B Property and deception offences,B20 Property damage,Non family member,"1,768"
2019,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,371"
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,64
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Family,187
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,256
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,596
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"4,032"
2019,September,B Property and deception offences,B40 Theft,Current partner,139
2019,September,B Property and deception offences,B40 Theft,Family,519
2019,September,B Property and deception offences,B40 Theft,Former partner,264
2019,September,B Property and deception offences,B40 Theft,Non family member,"1,794"
2019,September,B Property and deception offences,B40 Theft,Not related/ associated,"15,987"
2019,September,B Property and deception offences,B50 Deception,Current partner,23
2019,September,B Property and deception offences,B50 Deception,Family,115
2019,September,B Property and deception offences,B50 Deception,Former partner,64
2019,September,B Property and deception offences,B50 Deception,Non family member,403
2019,September,B Property and deception offences,B50 Deception,Not related/ associated,"2,434"
2018,September,A Crimes against the person,A10 Homicide and related offences,Current partner,20
2018,September,A Crimes against the person,A10 Homicide and related offences,Family,14
2018,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2018,September,A Crimes against the person,A10 Homicide and related offences,Non family member,44
2018,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,93
2018,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,202"
2018,September,A Crimes against the person,A20 Assault and related offences,Family,"8,200"
2018,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,200"
2018,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,394"
2018,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,659"
2018,September,A Crimes against the person,A30 Sexual offences,Current partner,756
2018,September,A Crimes against the person,A30 Sexual offences,Family,"1,716"
2018,September,A Crimes against the person,A30 Sexual offences,Former partner,462
2018,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,886"
2018,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,934"
2018,September,A Crimes against the person,A40 Abduction and related offences,Current partner,107
2018,September,A Crimes against the person,A40 Abduction and related offences,Family,41
2018,September,A Crimes against the person,A40 Abduction and related offences,Former partner,75
2018,September,A Crimes against the person,A40 Abduction and related offences,Non family member,80
2018,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,81
2018,September,A Crimes against the person,A50 Robbery,Current partner,6
2018,September,A Crimes against the person,A50 Robbery,Family,21
2018,September,A Crimes against the person,A50 Robbery,Former partner,13
2018,September,A Crimes against the person,A50 Robbery,Non family member,271
2018,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,214"
2018,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,5
2018,September,A Crimes against the person,A60 Blackmail and extortion,Family,4
2018,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,8
2018,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,45
2018,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,27
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,996
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,263"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,489"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,279"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,947
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,171
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,226
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,126
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,309
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,123"
2018,September,B Property and deception offences,B10 Arson,Current partner,6
2018,September,B Property and deception offences,B10 Arson,Family,2
2018,September,B Property and deception offences,B10 Arson,Former partner,6
2018,September,B Property and deception offences,B10 Arson,Non family member,7
2018,September,B Property and deception offences,B10 Arson,Not related/ associated,28
2018,September,B Property and deception offences,B20 Property damage,Current partner,"1,574"
2018,September,B Property and deception offences,B20 Property damage,Family,"2,216"
2018,September,B Property and deception offences,B20 Property damage,Former partner,"1,061"
2018,September,B Property and deception offences,B20 Property damage,Non family member,"1,529"
2018,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,553"
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,60
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Family,182
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,220
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,491
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"4,473"
2018,September,B Property and deception offences,B40 Theft,Current partner,112
2018,September,B Property and deception offences,B40 Theft,Family,489
2018,September,B Property and deception offences,B40 Theft,Former partner,235
2018,September,B Property and deception offences,B40 Theft,Non family member,"1,410"
2018,September,B Property and deception offences,B40 Theft,Not related/ associated,"17,299"
2018,September,B Property and deception offences,B50 Deception,Current partner,31
2018,September,B Property and deception offences,B50 Deception,Family,103
2018,September,B Property and deception offences,B50 Deception,Former partner,66
2018,September,B Property and deception offences,B50 Deception,Non family member,357
2018,September,B Property and deception offences,B50 Deception,Not related/ associated,"2,026"
2017,September,A Crimes against the person,A10 Homicide and related offences,Current partner,20
2017,September,A Crimes against the person,A10 Homicide and related offences,Family,21
2017,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2017,September,A Crimes against the person,A10 Homicide and related offences,Non family member,50
2017,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,106
2017,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,258"
2017,September,A Crimes against the person,A20 Assault and related offences,Family,"8,527"
2017,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,167"
2017,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,656"
2017,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"9,987"
2017,September,A Crimes against the person,A30 Sexual offences,Current partner,730
2017,September,A Crimes against the person,A30 Sexual offences,Family,"1,784"
2017,September,A Crimes against the person,A30 Sexual offences,Former partner,390
2017,September,A Crimes against the person,A30 Sexual offences,Non family member,"3,126"
2017,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,584"
2017,September,A Crimes against the person,A40 Abduction and related offences,Current partner,121
2017,September,A Crimes against the person,A40 Abduction and related offences,Family,38
